Time (s);sFiltered 0;Sampling Rate
0.0000000000e+000;4.3153774242e+000;4
2.5000000000e-001;2.2472826360e+000;
5.0000000000e-001;1.5217456941e+000;
7.5000000000e-001;1.8734116920e+000;
1.0000000000e+000;1.2164627134e+000;
1.2500000000e+000;1.1869964924e+000;
1.5000000000e+000;1.1838985901e+000;
1.7500000000e+000;1.1803177222e+000;
2.0000000000e+000;3.9586460380e+000;
2.2500000000e+000;1.0196976583e+000;
2.5000000000e+000;9.8279115699e-001;
2.7500000000e+000;1.3284669718e+000;
3.0000000000e+000;2.6199386468e+000;
3.2500000000e+000;1.2773429572e+000;
3.5000000000e+000;2.2086212840e+000;
3.7500000000e+000;6.3449222452e-001;
4.0000000000e+000;1.7099320075e+000;
4.2500000000e+000;3.2055358552e+000;
4.5000000000e+000;1.7675916327e+000;
4.7500000000e+000;2.4152427133e+000;
5.0000000000e+000;7.6502938880e-001;
5.2500000000e+000;1.1828797880e+000;
5.5000000000e+000;2.8632572918e+000;
5.7500000000e+000;3.0333578114e+000;
6.0000000000e+000;1.7111036096e+000;
6.2500000000e+000;7.0951801300e-001;
6.5000000000e+000;1.6101356710e+000;
6.7500000000e+000;4.1901672412e+000;
7.0000000000e+000;2.2450409614e+000;
7.2500000000e+000;2.3366721059e+000;
7.5000000000e+000;3.3006667328e+000;
7.7500000000e+000;3.2423538511e+000;
8.0000000000e+000;2.5474787638e+000;
8.2500000000e+000;7.8793519961e-001;
8.5000000000e+000;1.9510583906e+000;
8.7500000000e+000;1.9802274056e+000;
9.0000000000e+000;1.3111745841e+000;
9.2500000000e+000;8.9515620012e-001;
9.5000000000e+000;2.3359540909e+000;
9.7500000000e+000;2.6293801886e+000;
1.0000000000e+001;1.0495745651e+000;
1.0250000000e+001;1.2751448800e+000;
1.0500000000e+001;2.7973546237e+000;
1.0750000000e+001;2.8240616827e+000;
1.1000000000e+001;2.6730566617e+000;
1.1250000000e+001;1.7248407301e+000;
1.1500000000e+001;4.9610247919e+000;
1.1750000000e+001;3.4193491109e+000;
1.2000000000e+001;2.7810370529e+000;
1.2250000000e+001;1.2941878681e+000;
1.2500000000e+001;1.9700920009e+000;
1.2750000000e+001;2.4162117818e+000;
1.3000000000e+001;1.6825924325e+000;
1.3250000000e+001;4.0797377453e-001;
1.3500000000e+001;7.2212862235e-001;
1.3750000000e+001;1.3137716749e+000;
1.4000000000e+001;2.1311565331e+000;
1.4250000000e+001;2.3604591795e+000;
1.4500000000e+001;1.9368135545e+000;
1.4750000000e+001;2.2547051361e+000;
1.5000000000e+001;1.3834721181e+000;
1.5250000000e+001;6.8550887674e-001;
1.5500000000e+001;1.3722847589e+000;
1.5750000000e+001;1.7412673002e+000;
1.6000000000e+001;1.3579388660e+000;
1.6250000000e+001;1.9948050304e+000;
1.6500000000e+001;2.0299731198e+000;
1.6750000000e+001;2.7913941872e+000;
1.7000000000e+001;1.1613020032e+000;
1.7250000000e+001;1.4667228711e+000;
1.7500000000e+001;1.9417960844e+000;
1.7750000000e+001;1.6055880452e+000;
1.8000000000e+001;1.1953505794e+000;
1.8250000000e+001;1.5067215731e+000;
1.8500000000e+001;2.0856458957e+000;
1.8750000000e+001;1.1142490496e+000;
1.9000000000e+001;1.6854720812e+000;
1.9250000000e+001;1.1875662276e+000;
1.9500000000e+001;1.9207811945e+000;
1.9750000000e+001;1.6151419554e+000;
2.0000000000e+001;1.9192645941e+000;
2.0250000000e+001;2.2583078104e+000;
2.0500000000e+001;3.3948169451e+000;
2.0750000000e+001;1.2565321703e+000;
2.1000000000e+001;8.7087011082e-001;
2.1250000000e+001;1.0013541407e+000;
2.1500000000e+001;2.0266434483e+000;
2.1750000000e+001;1.6456321139e+000;
2.2000000000e+001;1.0504085883e+000;
2.2250000000e+001;1.1846009932e+000;
2.2500000000e+001;8.5133039238e-001;
2.2750000000e+001;1.0816969533e+000;
2.3000000000e+001;7.8467696131e-001;
2.3250000000e+001;1.4652712222e+000;
2.3500000000e+001;1.6657442924e+000;
2.3750000000e+001;1.5721194729e+000;
2.4000000000e+001;1.6825619243e+000;
2.4250000000e+001;1.8072299797e+000;
2.4500000000e+001;1.6903260466e+000;
2.4750000000e+001;2.0023233574e+000;
2.5000000000e+001;1.2219718616e+000;
2.5250000000e+001;2.7096786870e+000;
2.5500000000e+001;2.2412137522e+000;
2.5750000000e+001;1.6617315204e+000;
2.6000000000e+001;1.5277378165e+000;
2.6250000000e+001;1.3456601759e+000;
2.6500000000e+001;1.3558081505e+000;
2.6750000000e+001;1.0085630131e+000;
