Time (s);sFiltered 0;Sampling Rate
0.0000000000e+000;2.7524041782e+000;4
2.5000000000e-001;1.7762650151e+000;
5.0000000000e-001;8.6002001382e-001;
7.5000000000e-001;6.9935510178e-001;
1.0000000000e+000;6.6364617764e-001;
1.2500000000e+000;1.1745222691e+000;
1.5000000000e+000;3.8772757013e-001;
1.7500000000e+000;6.5222597689e-001;
2.0000000000e+000;1.7992349267e+000;
2.2500000000e+000;8.0564398941e-001;
2.5000000000e+000;6.7175610530e-001;
2.7500000000e+000;3.2415738087e-001;
3.0000000000e+000;5.6234640897e-001;
3.2500000000e+000;3.0221594142e-001;
3.5000000000e+000;6.6301979707e-001;
3.7500000000e+000;5.7486061095e-001;
4.0000000000e+000;4.4444108933e-001;
4.2500000000e+000;9.2807711839e-001;
4.5000000000e+000;6.1737952305e-001;
4.7500000000e+000;1.2163094730e+000;
5.0000000000e+000;1.0607841158e+000;
5.2500000000e+000;9.0426422491e-001;
5.5000000000e+000;1.0179410942e+000;
5.7500000000e+000;3.0296854572e-001;
6.0000000000e+000;1.0277725581e+000;
6.2500000000e+000;1.1770387155e+000;
6.5000000000e+000;4.1347419508e-001;
6.7500000000e+000;7.6821171697e-001;
7.0000000000e+000;7.2075579343e-001;
7.2500000000e+000;1.0409768422e+000;
7.5000000000e+000;8.5569141345e-001;
7.7500000000e+000;1.1731993054e+000;
8.0000000000e+000;4.3989204014e-001;
8.2500000000e+000;1.4674621655e+000;
8.5000000000e+000;7.6850880694e-001;
8.7500000000e+000;1.3238920619e+000;
9.0000000000e+000;1.3285473779e+000;
9.2500000000e+000;5.0961540505e-001;
9.5000000000e+000;1.6606794861e+000;
9.7500000000e+000;9.8610229094e-001;
1.0000000000e+001;4.5673608332e-001;
1.0250000000e+001;3.6249833321e-001;
1.0500000000e+001;7.1735330147e-001;
1.0750000000e+001;1.6387476011e+000;
1.1000000000e+001;1.2465919565e+000;
1.1250000000e+001;8.6711422646e-001;
1.1500000000e+001;1.1508351463e+000;
1.1750000000e+001;5.7568377145e-001;
1.2000000000e+001;3.6659883411e-001;
1.2250000000e+001;2.2951910275e-001;
1.2500000000e+001;6.0275951741e-001;
1.2750000000e+001;6.1242822952e-001;
1.3000000000e+001;3.9153531705e-001;
1.3250000000e+001;4.2595250016e-001;
1.3500000000e+001;1.1028571670e+000;
1.3750000000e+001;6.8812826028e-001;
1.4000000000e+001;4.4527373447e-001;
1.4250000000e+001;1.4199404685e+000;
1.4500000000e+001;5.3592019953e-001;
1.4750000000e+001;6.8480259876e-001;
1.5000000000e+001;8.7889230875e-001;
1.5250000000e+001;3.1954686035e-001;
1.5500000000e+001;3.9919333278e-001;
1.5750000000e+001;4.8361608849e-001;
1.6000000000e+001;4.1814133011e-001;
1.6250000000e+001;3.5061984399e-001;
