Time (s);sFiltered 0;Sampling Rate
0.0000000000e+000;2.1379111153e+000;4
2.5000000000e-001;1.6641268937e+000;
5.0000000000e-001;1.9428805069e+000;
7.5000000000e-001;2.1167709092e+000;
1.0000000000e+000;1.3822282284e+000;
1.2500000000e+000;2.3973074470e+000;
1.5000000000e+000;1.8453257241e+000;
1.7500000000e+000;9.0744090647e-001;
2.0000000000e+000;2.2703316856e+000;
2.2500000000e+000;1.4380117368e+000;
2.5000000000e+000;2.7509982593e+000;
2.7500000000e+000;1.3519633976e+000;
3.0000000000e+000;2.0942525829e+000;
3.2500000000e+000;4.2970360704e+000;
3.5000000000e+000;1.5629439310e+000;
3.7500000000e+000;1.2252980467e+000;
4.0000000000e+000;1.6411757482e+000;
4.2500000000e+000;3.1341031490e+000;
4.5000000000e+000;1.4009497308e+000;
4.7500000000e+000;2.8174380051e+000;
5.0000000000e+000;1.8856197730e+000;
5.2500000000e+000;2.3222736920e+000;
5.5000000000e+000;3.2282317710e+000;
5.7500000000e+000;1.9567429646e+000;
6.0000000000e+000;1.3070423488e+000;
6.2500000000e+000;1.3640136908e+000;
6.5000000000e+000;1.1286602180e+000;
6.7500000000e+000;1.7052905406e+000;
7.0000000000e+000;3.0491773083e+000;
7.2500000000e+000;6.5060686428e-001;
7.5000000000e+000;8.8164731063e-001;
7.7500000000e+000;1.0359759807e+000;
8.0000000000e+000;8.4596557361e-001;
8.2500000000e+000;3.0294838540e+000;
8.5000000000e+000;3.9125027914e+000;
8.7500000000e+000;1.5880298902e+000;
9.0000000000e+000;1.7357785241e+000;
9.2500000000e+000;6.7818581407e-001;
9.5000000000e+000;1.6952754314e+000;
9.7500000000e+000;1.1479869207e+000;
1.0000000000e+001;5.5025246553e-001;
1.0250000000e+001;9.2459602190e-001;
1.0500000000e+001;1.0089035430e+000;
1.0750000000e+001;6.1087567742e-001;
1.1000000000e+001;8.6039991478e-001;
1.1250000000e+001;1.5507483697e+000;
1.1500000000e+001;4.8533166533e-001;
1.1750000000e+001;9.8889569337e-001;
1.2000000000e+001;7.3653879607e-001;
1.2250000000e+001;1.7489884269e+000;
1.2500000000e+001;1.1830699544e+000;
1.2750000000e+001;2.0089134713e+000;
1.3000000000e+001;2.7457166417e+000;
1.3250000000e+001;1.7248696670e+000;
1.3500000000e+001;1.0949665085e+000;
1.3750000000e+001;1.2487245597e+000;
1.4000000000e+001;2.2321584911e+000;
1.4250000000e+001;2.2366791381e+000;
1.4500000000e+001;1.7948246504e+000;
1.4750000000e+001;1.1061059988e+000;
1.5000000000e+001;1.6976349118e+000;
1.5250000000e+001;7.3356770358e-001;
1.5500000000e+001;1.3357254851e+000;
1.5750000000e+001;1.5048676231e+000;
1.6000000000e+001;1.8367176759e+000;
1.6250000000e+001;1.5771618471e+000;
1.6500000000e+001;8.2004962160e-001;
1.6750000000e+001;1.4944101010e+000;
1.7000000000e+001;1.8106745096e+000;
1.7250000000e+001;2.2568666063e+000;
1.7500000000e+001;1.4301223066e+000;
1.7750000000e+001;3.1328473104e+000;
1.8000000000e+001;1.5091352718e+000;
1.8250000000e+001;1.7742819660e+000;
1.8500000000e+001;3.0895451421e+000;
1.8750000000e+001;1.8104229638e+000;
1.9000000000e+001;8.6546798009e-001;
1.9250000000e+001;2.3995252097e+000;
1.9500000000e+001;1.3545461336e+000;
1.9750000000e+001;2.7765964359e+000;
2.0000000000e+001;2.2433710163e+000;
2.0250000000e+001;2.4355949901e+000;
2.0500000000e+001;1.7297859116e+000;
2.0750000000e+001;1.9123429390e+000;
2.1000000000e+001;8.1299220224e-001;
2.1250000000e+001;9.5613994430e-001;
2.1500000000e+001;7.4588253395e-001;
2.1750000000e+001;9.8361171303e-001;
2.2000000000e+001;1.2868247629e+000;
2.2250000000e+001;5.9329550056e-001;
2.2500000000e+001;1.5593605726e+000;
2.2750000000e+001;1.3127558294e+000;
2.3000000000e+001;1.2684169053e+000;
2.3250000000e+001;2.1160152678e+000;
2.3500000000e+001;1.8983237429e+000;
2.3750000000e+001;2.2057589111e+000;
2.4000000000e+001;1.4128958523e+000;
2.4250000000e+001;1.7887444452e+000;
2.4500000000e+001;1.3970911144e+000;
2.4750000000e+001;1.1339271843e+000;
2.5000000000e+001;2.5534663275e+000;
2.5250000000e+001;2.3695376187e+000;
2.5500000000e+001;9.2723235173e-001;
2.5750000000e+001;1.4863631462e+000;
2.6000000000e+001;2.5572493307e+000;
2.6250000000e+001;1.0718063501e+000;
2.6500000000e+001;9.2315111512e-001;
2.6750000000e+001;2.9536955023e+000;
2.7000000000e+001;1.3912569332e+000;
2.7250000000e+001;1.9199254235e+000;
2.7500000000e+001;1.1562995070e+000;
2.7750000000e+001;1.5234610199e+000;
2.8000000000e+001;1.8856626033e+000;
2.8250000000e+001;1.9659171435e+000;
2.8500000000e+001;2.3712316910e+000;
2.8750000000e+001;8.9726283447e-001;
2.9000000000e+001;1.5508127472e+000;
2.9250000000e+001;2.2987294853e+000;
2.9500000000e+001;1.2477619747e+000;
2.9750000000e+001;8.4407575197e-001;
3.0000000000e+001;1.1926394789e+000;
3.0250000000e+001;6.7035560325e-001;
3.0500000000e+001;8.7914227615e-001;
3.0750000000e+001;2.0652850673e+000;
3.1000000000e+001;1.5955513401e+000;
3.1250000000e+001;1.6693709160e+000;
3.1500000000e+001;1.0837513637e+000;
3.1750000000e+001;6.1532770417e-001;
3.2000000000e+001;1.1104224735e+000;
3.2250000000e+001;1.1555956693e+000;
3.2500000000e+001;1.7511794503e+000;
3.2750000000e+001;1.0810927522e+000;
3.3000000000e+001;2.4628670863e+000;
3.3250000000e+001;1.1136108973e+000;
3.3500000000e+001;1.7641212609e+000;
3.3750000000e+001;8.9663753272e-001;
3.4000000000e+001;9.1192901891e-001;
3.4250000000e+001;2.3514288542e+000;
3.4500000000e+001;1.9276228459e+000;
3.4750000000e+001;1.5673621161e+000;
3.5000000000e+001;1.9350358943e+000;
3.5250000000e+001;1.4184164517e+000;
3.5500000000e+001;2.2625189156e+000;
3.5750000000e+001;1.6724433713e+000;
