Time (s);sFiltered 0;Sampling Rate
0.0000000000e+000;2.6700120400e+000;4
2.5000000000e-001;1.2040008355e+000;
5.0000000000e-001;1.1616813088e+000;
7.5000000000e-001;1.4460000989e+000;
1.0000000000e+000;5.0582656269e-001;
1.2500000000e+000;1.7884313767e+000;
1.5000000000e+000;1.5781809146e+000;
1.7500000000e+000;3.1802592874e+000;
2.0000000000e+000;1.9945280376e+000;
2.2500000000e+000;3.1400239072e+000;
2.5000000000e+000;5.8016741939e-001;
2.7500000000e+000;5.7414159927e-001;
3.0000000000e+000;1.4998139861e+000;
3.2500000000e+000;2.8978794854e+000;
3.5000000000e+000;1.1239095702e+000;
3.7500000000e+000;1.4633134087e+000;
4.0000000000e+000;7.7355207061e-001;
4.2500000000e+000;2.2416437639e+000;
4.5000000000e+000;2.8703198708e+000;
4.7500000000e+000;1.3791337789e+000;
5.0000000000e+000;1.2881945460e+000;
5.2500000000e+000;2.5526223883e+000;
5.5000000000e+000;2.1040212085e+000;
5.7500000000e+000;3.7220181173e+000;
6.0000000000e+000;2.8477585278e+000;
6.2500000000e+000;1.1175714996e+000;
6.5000000000e+000;1.2665443689e+000;
6.7500000000e+000;1.8175450023e+000;
7.0000000000e+000;3.2403823967e+000;
7.2500000000e+000;2.1460605337e+000;
7.5000000000e+000;1.1989351962e+000;
7.7500000000e+000;3.0790799911e+000;
8.0000000000e+000;1.0493969619e+000;
8.2500000000e+000;2.1210599915e+000;
8.5000000000e+000;1.7247507804e+000;
8.7500000000e+000;2.9501058424e+000;
9.0000000000e+000;1.2636953149e+000;
9.2500000000e+000;2.8629705602e+000;
9.5000000000e+000;1.6443606021e+000;
9.7500000000e+000;1.5794416268e+000;
1.0000000000e+001;2.4859265698e+000;
1.0250000000e+001;2.2306828963e+000;
1.0500000000e+001;1.3359272299e+000;
1.0750000000e+001;1.1810283047e+000;
1.1000000000e+001;4.4532965887e+000;
1.1250000000e+001;9.5595509715e-001;
1.1500000000e+001;2.7300092086e+000;
1.1750000000e+001;1.3577804471e+000;
1.2000000000e+001;4.6534547415e+000;
1.2250000000e+001;1.7298284277e+000;
1.2500000000e+001;1.3242731866e+000;
1.2750000000e+001;7.3490349139e-001;
1.3000000000e+001;6.9958530724e-001;
1.3250000000e+001;5.7309447790e+000;
1.3500000000e+001;1.6054959517e+000;
1.3750000000e+001;2.2395825563e+000;
1.4000000000e+001;1.6240407005e+000;
1.4250000000e+001;1.8621433800e+000;
1.4500000000e+001;2.0878448129e+000;
1.4750000000e+001;1.8183306650e+000;
1.5000000000e+001;5.8680887211e-001;
1.5250000000e+001;1.5269883537e+000;
1.5500000000e+001;1.0805965024e+000;
1.5750000000e+001;2.2618425820e+000;
1.6000000000e+001;2.2899904850e+000;
1.6250000000e+001;3.7806750517e+000;
1.6500000000e+001;1.7191035493e+000;
1.6750000000e+001;1.6237801520e+000;
1.7000000000e+001;2.1864102054e+000;
1.7250000000e+001;3.0643873376e+000;
1.7500000000e+001;2.1065497646e+000;
1.7750000000e+001;2.5326499935e+000;
1.8000000000e+001;2.6248003741e+000;
1.8250000000e+001;6.9014175726e-001;
1.8500000000e+001;1.7484380026e+000;
1.8750000000e+001;8.2022291741e-001;
1.9000000000e+001;1.2860301284e+000;
1.9250000000e+001;1.3624612186e+000;
1.9500000000e+001;3.7546808234e+000;
1.9750000000e+001;1.6855375959e+000;
2.0000000000e+001;2.9668146223e+000;
2.0250000000e+001;1.4019816405e+000;
2.0500000000e+001;1.7905986357e+000;
2.0750000000e+001;6.9591806264e-001;
2.1000000000e+001;1.0349858110e+000;
2.1250000000e+001;1.2350152444e+000;
2.1500000000e+001;7.4832606367e-001;
2.1750000000e+001;1.4323861482e+000;
2.2000000000e+001;2.3725091243e+000;
2.2250000000e+001;1.1634134550e+000;
2.2500000000e+001;9.9031473773e-001;
2.2750000000e+001;5.9651384787e-001;
2.3000000000e+001;1.1211280954e+000;
2.3250000000e+001;1.1512842753e+000;
2.3500000000e+001;1.3173107002e+000;
2.3750000000e+001;1.5459498926e+000;
2.4000000000e+001;1.4067114385e+000;
2.4250000000e+001;1.0097492567e+000;
2.4500000000e+001;9.4679459294e-001;
2.4750000000e+001;1.0687697689e+000;
2.5000000000e+001;1.0678386000e+000;
2.5250000000e+001;7.9341908926e-001;
2.5500000000e+001;1.6476783167e+000;
2.5750000000e+001;1.7033885993e+000;
2.6000000000e+001;1.3987580056e+000;
2.6250000000e+001;1.0971325973e+000;
2.6500000000e+001;8.9082943433e-001;
2.6750000000e+001;9.2923222580e-001;
2.7000000000e+001;5.6344182436e-001;
2.7250000000e+001;8.2201464487e-001;
2.7500000000e+001;2.3423177767e+000;
2.7750000000e+001;2.1694774985e+000;
2.8000000000e+001;7.7656899777e-001;
2.8250000000e+001;8.6066177583e-001;
2.8500000000e+001;5.5857878781e-001;
2.8750000000e+001;1.2536643613e+000;
2.9000000000e+001;8.1256974534e-001;
2.9250000000e+001;4.3040802144e-001;
2.9500000000e+001;1.5829883101e+000;
2.9750000000e+001;7.6375820221e-001;
3.0000000000e+001;1.7334963379e+000;
3.0250000000e+001;7.7743327867e-001;
3.0500000000e+001;1.4240541078e+000;
3.0750000000e+001;1.3910210362e+000;
3.1000000000e+001;1.4833368989e+000;
3.1250000000e+001;2.9713480187e+000;
3.1500000000e+001;1.0152935519e+000;
3.1750000000e+001;1.2550223954e+000;
3.2000000000e+001;3.9780642251e-001;
3.2250000000e+001;1.0940637207e+000;
3.2500000000e+001;5.4592329399e-001;
3.2750000000e+001;1.2048630930e+000;
3.3000000000e+001;1.0940484340e+000;
3.3250000000e+001;1.2376677217e+000;
3.3500000000e+001;1.1851862590e+000;
3.3750000000e+001;8.2899188151e-001;
3.4000000000e+001;1.0754962028e+000;
3.4250000000e+001;9.8722207407e-001;
3.4500000000e+001;2.3054293949e+000;
3.4750000000e+001;9.5692277405e-001;
3.5000000000e+001;6.7100068748e-001;
3.5250000000e+001;5.1039835584e-001;
3.5500000000e+001;8.9560559952e-001;
3.5750000000e+001;7.8244988056e-001;
3.6000000000e+001;3.4636759545e-001;
3.6250000000e+001;7.3817371430e-001;
3.6500000000e+001;5.6188812556e-001;
3.6750000000e+001;1.2700838647e+000;
3.7000000000e+001;6.0351679851e-001;
3.7250000000e+001;8.1522581317e-001;
3.7500000000e+001;6.1845978126e-001;
3.7750000000e+001;8.4582964762e-001;
3.8000000000e+001;2.2716793204e+000;
3.8250000000e+001;1.4102055746e+000;
3.8500000000e+001;1.8210774057e+000;
3.8750000000e+001;1.8972450855e+000;
3.9000000000e+001;1.7749239215e+000;
3.9250000000e+001;1.5010743456e+000;
3.9500000000e+001;1.6732108502e+000;
3.9750000000e+001;4.9407826606e+000;
4.0000000000e+001;2.0342610840e+000;
4.0250000000e+001;1.0061711640e+000;
4.0500000000e+001;1.0666653800e+000;
4.0750000000e+001;9.3013146059e-001;
4.1000000000e+001;6.2466568725e-001;
4.1250000000e+001;8.5769941410e-001;
4.1500000000e+001;1.3087941387e+000;
4.1750000000e+001;1.9664937892e+000;
4.2000000000e+001;2.0528362899e+000;
4.2250000000e+001;1.6681381387e+000;
4.2500000000e+001;1.6342554545e+000;
4.2750000000e+001;1.4203896845e+000;
4.3000000000e+001;1.0673974099e+000;
4.3250000000e+001;1.5849697793e+000;
4.3500000000e+001;1.8588661487e+000;
4.3750000000e+001;1.0642857486e+000;
4.4000000000e+001;1.0096359097e+000;
4.4250000000e+001;1.5261933449e+000;
4.4500000000e+001;2.5756555841e+000;
4.4750000000e+001;2.2107918359e+000;
4.5000000000e+001;7.2306248689e-001;
4.5250000000e+001;1.0937354483e+000;
4.5500000000e+001;1.1749355806e+000;
4.5750000000e+001;1.1343967519e+000;
4.6000000000e+001;1.3728232442e+000;
4.6250000000e+001;1.1226447606e+000;
4.6500000000e+001;1.1689131306e+000;
4.6750000000e+001;1.7228786142e+000;
4.7000000000e+001;7.4390945739e-001;
4.7250000000e+001;2.0757818029e+000;
4.7500000000e+001;1.8893342155e+000;
4.7750000000e+001;1.3743938964e+000;
4.8000000000e+001;1.0487633874e+000;
4.8250000000e+001;1.5900336299e+000;
4.8500000000e+001;3.1581311499e+000;
4.8750000000e+001;1.1742781174e+000;
4.9000000000e+001;1.6346015640e+000;
4.9250000000e+001;2.7276507548e+000;
4.9500000000e+001;7.8592779480e-001;
4.9750000000e+001;6.2350409555e-001;
5.0000000000e+001;2.1483001799e+000;
5.0250000000e+001;1.4737385305e+000;
5.0500000000e+001;5.7480927193e-001;
5.0750000000e+001;1.2755411510e+000;
5.1000000000e+001;1.4648022050e+000;
5.1250000000e+001;2.2623196346e+000;
5.1500000000e+001;1.1357588925e+000;
5.1750000000e+001;2.4120094237e+000;
5.2000000000e+001;1.8664518366e+000;
5.2250000000e+001;1.6673754544e+000;
5.2500000000e+001;7.5160495450e-001;
5.2750000000e+001;4.7830392624e-001;
5.3000000000e+001;1.1122893344e+000;
5.3250000000e+001;5.5433553254e-001;
5.3500000000e+001;8.5832992288e-001;
5.3750000000e+001;1.0376592424e+000;
5.4000000000e+001;1.2818611099e+000;
5.4250000000e+001;6.1856937535e-001;
5.4500000000e+001;1.2416325461e+000;
5.4750000000e+001;5.9711565863e-001;
5.5000000000e+001;1.1002281077e+000;
5.5250000000e+001;1.2030253127e+000;
5.5500000000e+001;2.5692051255e+000;
5.5750000000e+001;1.6852217636e+000;
5.6000000000e+001;1.1676665293e+000;
5.6250000000e+001;7.0929516211e-001;
5.6500000000e+001;1.3499479404e+000;
5.6750000000e+001;1.3302039294e+000;
5.7000000000e+001;1.6096512937e+000;
5.7250000000e+001;7.0043898004e-001;
5.7500000000e+001;6.6080428711e-001;
5.7750000000e+001;9.0742000279e-001;
5.8000000000e+001;1.3487562572e+000;
5.8250000000e+001;2.7701433035e+000;
5.8500000000e+001;1.1228659384e+000;
5.8750000000e+001;1.8480273304e+000;
5.9000000000e+001;9.9839326005e-001;
5.9250000000e+001;1.2291629796e+000;
5.9500000000e+001;2.4518065689e+000;
5.9750000000e+001;2.1567522423e+000;
6.0000000000e+001;1.8361439698e+000;
6.0250000000e+001;1.6773839211e+000;
6.0500000000e+001;1.0545441722e+000;
6.0750000000e+001;4.8004087051e-001;
6.1000000000e+001;1.6408767078e+000;
6.1250000000e+001;1.2516899003e+000;
6.1500000000e+001;1.6178596855e+000;
