Time (s);sFiltered 0;Sampling Rate
0.0000000000e+000;1.8608329640e+000;4
2.5000000000e-001;7.4113701204e-001;
5.0000000000e-001;6.0008010124e-001;
7.5000000000e-001;1.6714424028e+000;
1.0000000000e+000;3.9297352773e-001;
1.2500000000e+000;9.3967735085e-001;
1.5000000000e+000;5.3001877522e-001;
1.7500000000e+000;2.8684346632e-001;
2.0000000000e+000;1.3622844322e+000;
2.2500000000e+000;6.9774926358e-001;
2.5000000000e+000;1.0447975370e+000;
2.7500000000e+000;1.0647368007e+000;
3.0000000000e+000;7.3493685402e-001;
3.2500000000e+000;4.5563485300e-001;
3.5000000000e+000;4.8183188263e-001;
3.7500000000e+000;4.8254849434e-001;
4.0000000000e+000;1.1195187807e+000;
4.2500000000e+000;1.1424762406e+000;
4.5000000000e+000;8.1848059825e-001;
4.7500000000e+000;3.9282089499e-001;
5.0000000000e+000;5.1435436107e-001;
5.2500000000e+000;7.7676199659e-001;
5.5000000000e+000;6.4177030712e-001;
5.7500000000e+000;7.7351507450e-001;
6.0000000000e+000;4.9514772943e-001;
6.2500000000e+000;3.8815636530e-001;
6.5000000000e+000;3.8603653773e-001;
6.7500000000e+000;7.9990471780e-001;
7.0000000000e+000;1.1763572428e+000;
7.2500000000e+000;6.9475623285e-001;
7.5000000000e+000;1.0052423592e+000;
7.7500000000e+000;6.5345487965e-001;
8.0000000000e+000;8.4921818318e-001;
8.2500000000e+000;3.8919666847e-001;
8.5000000000e+000;1.0795239980e+000;
8.7500000000e+000;8.5455006530e-001;
9.0000000000e+000;3.1977662964e-001;
9.2500000000e+000;6.4622521846e-001;
9.5000000000e+000;8.5374454257e-001;
9.7500000000e+000;7.2277831635e-001;
1.0000000000e+001;5.5564956393e-001;
1.0250000000e+001;8.3706627566e-001;
1.0500000000e+001;4.3065110021e-001;
1.0750000000e+001;9.2181405922e-001;
1.1000000000e+001;5.9206350245e-001;
1.1250000000e+001;4.9198924136e-001;
1.1500000000e+001;1.3421275097e+000;
1.1750000000e+001;8.3152761104e-001;
1.2000000000e+001;8.8150038218e-001;
1.2250000000e+001;3.7184543008e-001;
1.2500000000e+001;8.1636611216e-001;
1.2750000000e+001;1.4113422588e+000;
1.3000000000e+001;8.3820392003e-001;
1.3250000000e+001;1.2049241816e+000;
1.3500000000e+001;1.0504032993e+000;
1.3750000000e+001;9.5553822207e-001;
1.4000000000e+001;1.1716872827e+000;
1.4250000000e+001;5.3339232344e-001;
1.4500000000e+001;8.7738389452e-001;
1.4750000000e+001;7.2084230104e-001;
1.5000000000e+001;1.3046729271e+000;
1.5250000000e+001;4.6207397823e-001;
1.5500000000e+001;3.2072558429e-001;
1.5750000000e+001;3.8126788266e-001;
1.6000000000e+001;1.9539322728e-001;
1.6250000000e+001;7.7236812605e-001;
1.6500000000e+001;4.4785920692e-001;
1.6750000000e+001;3.9595526836e-001;
1.7000000000e+001;1.3870909217e+000;
1.7250000000e+001;3.0312274673e-001;
1.7500000000e+001;6.1356669977e-001;
1.7750000000e+001;2.8688897351e-001;
1.8000000000e+001;2.3780607598e+000;
1.8250000000e+001;9.9594952873e-001;
1.8500000000e+001;3.9549018745e-001;
1.8750000000e+001;8.1344246871e-001;
1.9000000000e+001;1.0383466214e+000;
1.9250000000e+001;4.1732459482e-001;
1.9500000000e+001;1.2041411703e+000;
1.9750000000e+001;1.4739243859e+000;
2.0000000000e+001;5.4421178847e-001;
2.0250000000e+001;3.3662027962e-001;
2.0500000000e+001;3.3837303359e-001;
2.0750000000e+001;7.2903539697e-001;
2.1000000000e+001;9.9217603053e-001;
2.1250000000e+001;5.7954002474e-001;
2.1500000000e+001;6.0059466864e-001;
2.1750000000e+001;6.5437853916e-001;
2.2000000000e+001;3.7744387562e-001;
2.2250000000e+001;7.9768503386e-001;
2.2500000000e+001;6.8949217246e-001;
2.2750000000e+001;7.2500582510e-001;
2.3000000000e+001;7.7612775489e-001;
2.3250000000e+001;6.8717888070e-001;
2.3500000000e+001;4.4959923380e-001;
2.3750000000e+001;5.0835306507e-001;
2.4000000000e+001;5.2653499389e-001;
2.4250000000e+001;1.4671173039e+000;
2.4500000000e+001;5.6072879084e-001;
2.4750000000e+001;5.0407773301e-001;
2.5000000000e+001;5.8892711356e-001;
2.5250000000e+001;7.5517709622e-001;
2.5500000000e+001;7.4126273106e-001;
2.5750000000e+001;9.1580867277e-001;
2.6000000000e+001;4.7169527647e-001;
2.6250000000e+001;6.8817965192e-001;
2.6500000000e+001;4.0823717515e-001;
2.6750000000e+001;4.3935641128e-001;
2.7000000000e+001;9.2231052866e-001;
2.7250000000e+001;4.4028478843e-001;
2.7500000000e+001;4.9822509554e-001;
2.7750000000e+001;4.6162300066e-001;
2.8000000000e+001;3.3249547336e-001;
2.8250000000e+001;6.1205202761e-001;
2.8500000000e+001;8.3367760846e-001;
2.8750000000e+001;8.0171340774e-001;
2.9000000000e+001;5.1261388912e-001;
2.9250000000e+001;5.7590148172e-001;
2.9500000000e+001;5.6606268585e-001;
2.9750000000e+001;5.4937120601e-001;
3.0000000000e+001;6.1666383965e-001;
3.0250000000e+001;5.7878361828e-001;
3.0500000000e+001;9.6361197373e-001;
3.0750000000e+001;3.3738540779e-001;
3.1000000000e+001;6.8289878698e-001;
3.1250000000e+001;9.4804408602e-001;
3.1500000000e+001;7.7619351092e-001;
3.1750000000e+001;4.2369130602e-001;
3.2000000000e+001;6.2191893350e-001;
3.2250000000e+001;7.5134324658e-001;
3.2500000000e+001;8.8160962271e-001;
3.2750000000e+001;1.0886611437e+000;
3.3000000000e+001;4.3954014019e-001;
3.3250000000e+001;1.2884465870e+000;
3.3500000000e+001;4.0853771090e-001;
3.3750000000e+001;3.0421465179e-001;
3.4000000000e+001;4.7269117225e-001;
3.4250000000e+001;8.2315954234e-001;
3.4500000000e+001;4.8166455357e-001;
3.4750000000e+001;3.8887589683e-001;
3.5000000000e+001;4.6044037170e-001;
3.5250000000e+001;1.2862302517e+000;
3.5500000000e+001;3.2258288550e-001;
3.5750000000e+001;1.1830863288e+000;
3.6000000000e+001;9.2338790782e-001;
3.6250000000e+001;1.9779316685e+000;
3.6500000000e+001;6.2758449426e-001;
3.6750000000e+001;1.3194171406e+000;
3.7000000000e+001;9.9501856018e-001;
3.7250000000e+001;7.9430539261e-001;
3.7500000000e+001;7.6257109551e-001;
3.7750000000e+001;8.6432822286e-001;
3.8000000000e+001;6.5417818286e-001;
3.8250000000e+001;4.4398786628e-001;
3.8500000000e+001;1.2602157800e+000;
3.8750000000e+001;7.0310995431e-001;
3.9000000000e+001;3.6656122418e-001;
3.9250000000e+001;6.2951520534e-001;
3.9500000000e+001;8.6497023458e-001;
3.9750000000e+001;5.7263423472e-001;
4.0000000000e+001;1.0110058343e+000;
4.0250000000e+001;4.9358064081e-001;
4.0500000000e+001;8.6864889255e-001;
4.0750000000e+001;1.5684095824e+000;
4.1000000000e+001;1.3349562920e+000;
4.1250000000e+001;9.1766419504e-001;
4.1500000000e+001;6.2975327728e-001;
4.1750000000e+001;7.3440020664e-001;
4.2000000000e+001;7.7362048173e-001;
4.2250000000e+001;9.1058878622e-001;
4.2500000000e+001;8.2566567459e-001;
4.2750000000e+001;6.9518671394e-001;
4.3000000000e+001;1.2523304905e+000;
4.3250000000e+001;7.4573517168e-001;
4.3500000000e+001;1.4957806172e+000;
4.3750000000e+001;4.8227382707e-001;
4.4000000000e+001;6.0773120919e-001;
4.4250000000e+001;1.9044278208e+000;
4.4500000000e+001;1.0228677656e+000;
4.4750000000e+001;1.1373888808e+000;
4.5000000000e+001;8.4606398662e-001;
4.5250000000e+001;5.3789520231e-001;
4.5500000000e+001;4.7560014145e-001;
4.5750000000e+001;9.1956553142e-001;
4.6000000000e+001;1.0515789350e+000;
4.6250000000e+001;8.1770756094e-001;
4.6500000000e+001;3.1782287862e-001;
4.6750000000e+001;7.3711465671e-001;
4.7000000000e+001;6.0687123239e-001;
4.7250000000e+001;6.2907603670e-001;
4.7500000000e+001;6.2079151728e-001;
4.7750000000e+001;3.3241161460e-001;
4.8000000000e+001;1.9571710074e+000;
4.8250000000e+001;1.0178650401e+000;
4.8500000000e+001;7.1219962743e-001;
4.8750000000e+001;8.7484958539e-001;
4.9000000000e+001;1.3164345659e+000;
4.9250000000e+001;8.1222414051e-001;
4.9500000000e+001;1.1094989209e+000;
4.9750000000e+001;6.3757964489e-001;
5.0000000000e+001;6.4405271502e-001;
5.0250000000e+001;1.5947459618e+000;
5.0500000000e+001;6.2441436968e-001;
5.0750000000e+001;5.8353537933e-001;
5.1000000000e+001;4.3521670160e-001;
5.1250000000e+001;4.1956919062e-001;
5.1500000000e+001;1.5654431616e+000;
5.1750000000e+001;1.1348778966e+000;
5.2000000000e+001;3.5757765220e-001;
5.2250000000e+001;1.0937094113e+000;
5.2500000000e+001;8.8575665035e-001;
5.2750000000e+001;1.2557419847e+000;
5.3000000000e+001;8.2318001543e-001;
5.3250000000e+001;1.0023323302e+000;
5.3500000000e+001;7.7252513138e-001;
5.3750000000e+001;5.6972751114e-001;
5.4000000000e+001;1.1503806891e+000;
5.4250000000e+001;5.4282031509e-001;
5.4500000000e+001;8.7506011432e-001;
5.4750000000e+001;2.6486395307e-001;
5.5000000000e+001;1.0997620640e+000;
5.5250000000e+001;1.0879019834e+000;
5.5500000000e+001;6.5740047843e-001;
5.5750000000e+001;6.6140020775e-001;
5.6000000000e+001;1.3136567966e+000;
5.6250000000e+001;6.9306873109e-001;
5.6500000000e+001;1.3718872118e+000;
5.6750000000e+001;1.8231246177e+000;
5.7000000000e+001;7.0688950779e-001;
5.7250000000e+001;4.4481544657e-001;
5.7500000000e+001;1.6391305412e+000;
5.7750000000e+001;6.8042557164e-001;
5.8000000000e+001;7.7854117336e-001;
5.8250000000e+001;7.0457304531e-001;
5.8500000000e+001;1.8162051796e+000;
5.8750000000e+001;1.3977831633e+000;
5.9000000000e+001;9.0428850486e-001;
5.9250000000e+001;7.4431557387e-001;
5.9500000000e+001;5.9275158242e-001;
5.9750000000e+001;1.4246024912e+000;
6.0000000000e+001;3.3507402000e-001;
6.0250000000e+001;8.3729005460e-001;
6.0500000000e+001;7.1726339094e-001;
6.0750000000e+001;4.4172282766e-001;
6.1000000000e+001;4.8019587157e-001;
6.1250000000e+001;7.7311337882e-001;
