Time (s);sFiltered 0;Sampling Rate
0.0000000000e+000;4.3780744000e+000;4
2.5000000000e-001;2.0906948109e+000;
5.0000000000e-001;2.7671839253e+000;
7.5000000000e-001;2.8085367864e+000;
1.0000000000e+000;3.7155378722e+000;
1.2500000000e+000;1.8103394934e+000;
1.5000000000e+000;1.4172194727e+000;
1.7500000000e+000;1.0191787212e+000;
2.0000000000e+000;2.4170663500e+000;
2.2500000000e+000;1.5240509676e+000;
2.5000000000e+000;1.2956898600e+000;
2.7500000000e+000;1.3545173227e+000;
3.0000000000e+000;1.3115757231e+000;
3.2500000000e+000;7.2409822186e-001;
3.5000000000e+000;3.0207169782e+000;
3.7500000000e+000;1.5573690988e+000;
4.0000000000e+000;2.0601283540e+000;
4.2500000000e+000;1.6471629297e+000;
4.5000000000e+000;6.4695645616e-001;
4.7500000000e+000;2.3080331586e+000;
5.0000000000e+000;1.6058581992e+000;
5.2500000000e+000;2.1477902252e+000;
5.5000000000e+000;2.7816828682e+000;
5.7500000000e+000;1.7924394238e+000;
6.0000000000e+000;7.6154820826e-001;
6.2500000000e+000;1.5144287467e+000;
6.5000000000e+000;1.8410010807e+000;
6.7500000000e+000;1.3400397750e+000;
7.0000000000e+000;1.0750196805e+000;
7.2500000000e+000;1.5710927052e+000;
7.5000000000e+000;1.3958225861e+000;
7.7500000000e+000;2.0104947135e+000;
8.0000000000e+000;1.5829000710e+000;
8.2500000000e+000;1.6237901643e+000;
8.5000000000e+000;2.4158628818e+000;
8.7500000000e+000;2.7089045038e+000;
9.0000000000e+000;1.4059576879e+000;
9.2500000000e+000;1.3595364803e+000;
9.5000000000e+000;1.7407059346e+000;
9.7500000000e+000;6.6755828023e-001;
1.0000000000e+001;1.0157373657e+000;
1.0250000000e+001;2.1785085316e+000;
1.0500000000e+001;2.0062133716e+000;
1.0750000000e+001;1.9884707838e+000;
1.1000000000e+001;2.9679310136e+000;
1.1250000000e+001;2.5113937587e+000;
1.1500000000e+001;1.4072962162e+000;
1.1750000000e+001;1.2460107450e+000;
1.2000000000e+001;2.4857568698e+000;
1.2250000000e+001;2.1479845736e+000;
1.2500000000e+001;1.5185905788e+000;
1.2750000000e+001;1.2713540030e+000;
1.3000000000e+001;1.0630567043e+000;
1.3250000000e+001;2.4232351679e+000;
1.3500000000e+001;1.3095446710e+000;
1.3750000000e+001;1.5677951947e+000;
1.4000000000e+001;2.4140888378e+000;
1.4250000000e+001;2.5751408464e+000;
1.4500000000e+001;1.9855639468e+000;
1.4750000000e+001;1.6379684005e+000;
1.5000000000e+001;3.6195095709e+000;
1.5250000000e+001;2.8988796605e+000;
1.5500000000e+001;1.8018133215e+000;
1.5750000000e+001;1.6676206026e+000;
1.6000000000e+001;2.3446493066e+000;
1.6250000000e+001;2.7943587144e+000;
1.6500000000e+001;7.3749347786e-001;
1.6750000000e+001;1.3861210177e+000;
1.7000000000e+001;7.4224619334e-001;
1.7250000000e+001;1.0670709142e+000;
1.7500000000e+001;6.7422465450e-001;
1.7750000000e+001;8.6899333516e-001;
1.8000000000e+001;1.4446510180e+000;
1.8250000000e+001;1.9844003012e+000;
1.8500000000e+001;8.5359347675e-001;
1.8750000000e+001;2.2644899460e+000;
1.9000000000e+001;2.1888160794e+000;
1.9250000000e+001;2.1473688368e+000;
1.9500000000e+001;1.9542296229e+000;
1.9750000000e+001;1.6820907405e+000;
2.0000000000e+001;2.0987889097e+000;
2.0250000000e+001;3.3548666204e+000;
2.0500000000e+001;2.4433479784e+000;
2.0750000000e+001;1.2935786747e+000;
2.1000000000e+001;1.4327582214e+000;
2.1250000000e+001;2.1610786354e+000;
2.1500000000e+001;1.6854031545e+000;
2.1750000000e+001;1.6381155142e+000;
2.2000000000e+001;1.7480806892e+000;
2.2250000000e+001;1.9624882704e+000;
2.2500000000e+001;1.1736727209e+000;
2.2750000000e+001;1.3615823103e+000;
2.3000000000e+001;2.6736728170e+000;
2.3250000000e+001;1.9364847095e+000;
2.3500000000e+001;1.9870176919e+000;
2.3750000000e+001;1.0392417476e+000;
2.4000000000e+001;2.4465073909e+000;
2.4250000000e+001;9.9972715181e-001;
2.4500000000e+001;1.7522783242e+000;
2.4750000000e+001;7.1843241722e-001;
2.5000000000e+001;1.1378635269e+000;
2.5250000000e+001;2.7409880509e+000;
2.5500000000e+001;2.2991409472e+000;
2.5750000000e+001;1.8981235379e+000;
2.6000000000e+001;2.5231298704e+000;
2.6250000000e+001;1.7372036734e+000;
2.6500000000e+001;1.6513759668e+000;
2.6750000000e+001;2.2707543125e+000;
2.7000000000e+001;1.3388764081e+000;
2.7250000000e+001;7.7603333682e-001;
2.7500000000e+001;8.2308451279e-001;
2.7750000000e+001;1.9792598328e+000;
2.8000000000e+001;2.2252051390e+000;
2.8250000000e+001;3.0105662739e+000;
2.8500000000e+001;4.4024583475e-001;
2.8750000000e+001;1.3598103547e+000;
2.9000000000e+001;1.1883975747e+000;
2.9250000000e+001;2.3964764424e+000;
2.9500000000e+001;1.2173382292e+000;
2.9750000000e+001;1.2382890226e+000;
3.0000000000e+001;1.6899275255e+000;
3.0250000000e+001;1.1847466716e+000;
3.0500000000e+001;5.8314703698e-001;
3.0750000000e+001;1.3676430754e+000;
3.1000000000e+001;1.1672828150e+000;
3.1250000000e+001;1.4708316846e+000;
3.1500000000e+001;1.4507920493e+000;
3.1750000000e+001;1.3629236049e+000;
3.2000000000e+001;2.0727862243e+000;
3.2250000000e+001;1.4938709904e+000;
3.2500000000e+001;1.1088170843e+000;
3.2750000000e+001;1.4169499993e+000;
3.3000000000e+001;2.4833047285e+000;
3.3250000000e+001;8.3594757410e-001;
3.3500000000e+001;1.0520172216e+000;
3.3750000000e+001;6.8601361378e-001;
3.4000000000e+001;4.0669425877e+000;
3.4250000000e+001;6.8360510621e-001;
3.4500000000e+001;1.1437497509e+000;
3.4750000000e+001;1.6626068980e+000;
3.5000000000e+001;1.3494811288e+000;
3.5250000000e+001;1.6310098535e+000;
3.5500000000e+001;1.1256944223e+000;
3.5750000000e+001;9.9705223133e-001;
3.6000000000e+001;2.1941133081e+000;
3.6250000000e+001;6.7888822983e-001;
3.6500000000e+001;9.1254619388e-001;
3.6750000000e+001;1.1418826032e+000;
3.7000000000e+001;1.2025895882e+000;
3.7250000000e+001;1.6822144949e+000;
3.7500000000e+001;1.7139825324e+000;
3.7750000000e+001;1.9825379340e+000;
3.8000000000e+001;1.8132197023e+000;
3.8250000000e+001;8.1380606000e-001;
3.8500000000e+001;1.1498926028e+000;
3.8750000000e+001;2.9607103572e+000;
3.9000000000e+001;1.0159355717e+000;
3.9250000000e+001;1.7056247671e+000;
3.9500000000e+001;7.6562812880e-001;
3.9750000000e+001;3.7128642831e-001;
4.0000000000e+001;3.8750823837e-001;
4.0250000000e+001;1.3825130139e+000;
4.0500000000e+001;1.1571276649e+000;
4.0750000000e+001;1.1772719378e+000;
4.1000000000e+001;8.3352481852e-001;
4.1250000000e+001;1.5007619338e+000;
4.1500000000e+001;2.0747977123e+000;
4.1750000000e+001;1.7267359723e+000;
4.2000000000e+001;9.1784661526e-001;
4.2250000000e+001;1.1508227017e+000;
4.2500000000e+001;2.8338277097e+000;
4.2750000000e+001;1.3168524014e+000;
4.3000000000e+001;1.2177712322e+000;
4.3250000000e+001;1.1691556193e+000;
4.3500000000e+001;1.6946927212e+000;
4.3750000000e+001;1.6876057294e+000;
4.4000000000e+001;1.9538547350e+000;
4.4250000000e+001;1.0160055767e+000;
4.4500000000e+001;1.3062399843e+000;
4.4750000000e+001;2.0308326439e+000;
4.5000000000e+001;3.9629016241e-001;
4.5250000000e+001;7.8493364296e-001;
4.5500000000e+001;9.4986429162e-001;
4.5750000000e+001;1.0441310528e+000;
4.6000000000e+001;1.0033513645e+000;
4.6250000000e+001;1.9388023550e+000;
4.6500000000e+001;1.7367131839e+000;
4.6750000000e+001;1.7533054170e+000;
4.7000000000e+001;1.2057839635e+000;
4.7250000000e+001;8.9882452075e-001;
4.7500000000e+001;8.8688497004e-001;
4.7750000000e+001;1.4024744297e+000;
4.8000000000e+001;8.0989379670e-001;
4.8250000000e+001;2.0791605605e+000;
4.8500000000e+001;1.9622191979e+000;
4.8750000000e+001;9.2490033140e-001;
4.9000000000e+001;1.3589675193e+000;
4.9250000000e+001;1.8356443932e+000;
4.9500000000e+001;1.5913295227e+000;
4.9750000000e+001;2.4468725328e+000;
5.0000000000e+001;1.6122972707e+000;
5.0250000000e+001;1.8604171154e+000;
5.0500000000e+001;1.1587107517e+000;
5.0750000000e+001;1.7924627176e+000;
5.1000000000e+001;8.2770052165e-001;
5.1250000000e+001;1.1906066541e+000;
5.1500000000e+001;1.4636014509e+000;
5.1750000000e+001;1.0155345877e+000;
5.2000000000e+001;1.1198905713e+000;
5.2250000000e+001;1.0780808315e+000;
5.2500000000e+001;8.5833061105e-001;
5.2750000000e+001;1.1707267814e+000;
5.3000000000e+001;1.5675702357e+000;
5.3250000000e+001;1.2765750867e+000;
5.3500000000e+001;1.3191557537e+000;
5.3750000000e+001;1.7573959689e+000;
5.4000000000e+001;1.3963716956e+000;
5.4250000000e+001;1.5129529259e+000;
5.4500000000e+001;1.1712760004e+000;
5.4750000000e+001;1.7900609181e+000;
5.5000000000e+001;1.5552799181e+000;
5.5250000000e+001;2.6181119002e+000;
5.5500000000e+001;1.1277665672e+000;
5.5750000000e+001;3.4666347735e+000;
5.6000000000e+001;1.2410479030e+000;
5.6250000000e+001;1.3413263767e+000;
5.6500000000e+001;1.0492278174e+000;
5.6750000000e+001;1.1527858019e+000;
5.7000000000e+001;7.0254315164e-001;
5.7250000000e+001;1.8709660670e+000;
5.7500000000e+001;8.8420895850e-001;
5.7750000000e+001;1.0099071601e+000;
5.8000000000e+001;6.4038930691e-001;
5.8250000000e+001;1.4264454593e+000;
5.8500000000e+001;1.8221671719e+000;
5.8750000000e+001;2.0940398200e+000;
5.9000000000e+001;1.5703354641e+000;
5.9250000000e+001;1.2650108901e+000;
5.9500000000e+001;2.5441658093e+000;
5.9750000000e+001;3.3918303945e+000;
6.0000000000e+001;2.2428380343e+000;
6.0250000000e+001;1.3942753581e+000;
6.0500000000e+001;2.1007289541e+000;
