Time (s);sFiltered 0;Sampling Rate
0.0000000000e+000;1.0449918790e+000;4
2.5000000000e-001;8.6777095747e-001;
5.0000000000e-001;3.9469532534e-001;
7.5000000000e-001;8.5158255912e-001;
1.0000000000e+000;5.6491653604e-001;
1.2500000000e+000;8.7431759651e-001;
1.5000000000e+000;4.8783517911e-001;
1.7500000000e+000;8.4274381165e-001;
2.0000000000e+000;9.3208473821e-001;
2.2500000000e+000;4.2322300180e-001;
2.5000000000e+000;9.3135459751e-001;
2.7500000000e+000;4.0899250387e-001;
3.0000000000e+000;6.0592174107e-001;
3.2500000000e+000;7.5884293093e-001;
3.5000000000e+000;5.1493072673e-001;
3.7500000000e+000;6.7171559126e-001;
4.0000000000e+000;7.4764612325e-001;
4.2500000000e+000;8.1835857592e-001;
4.5000000000e+000;1.1554988251e+000;
4.7500000000e+000;7.5468113814e-001;
5.0000000000e+000;6.4171912953e-001;
5.2500000000e+000;4.4916447904e-001;
5.5000000000e+000;1.0515882945e+000;
5.7500000000e+000;1.2415443546e+000;
6.0000000000e+000;3.1371492145e-001;
6.2500000000e+000;4.6573385022e-001;
6.5000000000e+000;3.0810081615e-001;
6.7500000000e+000;6.5280905931e-001;
7.0000000000e+000;6.7400426088e-001;
7.2500000000e+000;6.8578393723e-001;
7.5000000000e+000;1.6719747052e+000;
7.7500000000e+000;5.5397525790e-001;
8.0000000000e+000;4.3454570059e-001;
8.2500000000e+000;5.6286198081e-001;
8.5000000000e+000;4.9513948645e-001;
8.7500000000e+000;1.4877471846e+000;
9.0000000000e+000;1.3508113882e+000;
9.2500000000e+000;3.4107575010e-001;
9.5000000000e+000;6.7971451530e-001;
9.7500000000e+000;1.3131649892e+000;
1.0000000000e+001;3.6992584653e-001;
1.0250000000e+001;9.1719697687e-001;
1.0500000000e+001;6.0403427825e-001;
1.0750000000e+001;1.0564171948e+000;
1.1000000000e+001;4.7960632975e-001;
1.1250000000e+001;8.0804271314e-001;
1.1500000000e+001;9.2779910232e-001;
1.1750000000e+001;5.7584585389e-001;
1.2000000000e+001;5.3669640480e-001;
1.2250000000e+001;7.0603917844e-001;
1.2500000000e+001;1.0107950910e+000;
1.2750000000e+001;4.3083797426e-001;
1.3000000000e+001;4.0318371574e-001;
1.3250000000e+001;6.7267082363e-001;
1.3500000000e+001;6.6032567189e-001;
1.3750000000e+001;6.0874337627e-001;
1.4000000000e+001;6.8551294292e-001;
1.4250000000e+001;4.0189295143e-001;
1.4500000000e+001;2.9375336248e-001;
1.4750000000e+001;7.2733370671e-001;
1.5000000000e+001;7.6971718046e-001;
1.5250000000e+001;9.6610953928e-001;
1.5500000000e+001;1.4866654569e+000;
1.5750000000e+001;6.6696058470e-001;
1.6000000000e+001;8.2660683659e-001;
1.6250000000e+001;4.4722005071e-001;
1.6500000000e+001;9.6411283696e-001;
1.6750000000e+001;1.8010618595e-001;
1.7000000000e+001;2.0824115763e-001;
1.7250000000e+001;1.0392469352e+000;
1.7500000000e+001;1.9025718063e-001;
1.7750000000e+001;9.6679582690e-001;
1.8000000000e+001;1.0051597056e+000;
1.8250000000e+001;3.3256831516e-001;
1.8500000000e+001;6.3445269020e-001;
1.8750000000e+001;1.1225544554e+000;
1.9000000000e+001;1.6289884680e+000;
1.9250000000e+001;4.3358293810e-001;
1.9500000000e+001;1.2679432972e+000;
1.9750000000e+001;2.1286276923e+000;
2.0000000000e+001;1.0526145513e+000;
2.0250000000e+001;7.5553714206e-001;
2.0500000000e+001;1.5420144494e+000;
2.0750000000e+001;1.0486341280e+000;
2.1000000000e+001;6.6799048243e-001;
2.1250000000e+001;7.9908083358e-001;
2.1500000000e+001;1.0128215463e+000;
2.1750000000e+001;4.8113483849e-001;
2.2000000000e+001;1.0278721770e+000;
2.2250000000e+001;8.7380369837e-001;
